srcStateName,srcDistrictName,srcYear,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area ,YearCode,Year
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(0.5-1.0),Marginal,1506.38,166.59,1672.97,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(0.5-1.0),Marginal,75581.024,366.238,75947.262,61.464,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(10.0-20.0),Large,9324.914,150.089,9475.003,12.23,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(1.0-2.0),Small,121868.306,893.889,122762.195,107.844,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(2.0-3.0),Semi-Medium,52042.103,458.632,52500.735,72.852,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,20 & Above,Large,6852.415,350.059,7202.474,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(3.0-4.0),Semi-Medium,26554.926,341.296,26896.222,30.374,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(4.0-5.0),Medium,16442.865,184.084,16626.949,39.271,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(5.0-7.5),Medium,18078.709,184.667,18263.376,26.898,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,(7.5-10.0),Medium,8720.256,167.901,8888.157,16.387,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Others,Below 0.5,Marginal,51042.43,570.551,51612.981,12.017,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(10.0-20.0),Large,34.18,0,34.18,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Institutional,(7.5-10.0),Medium,8.16,0,8.16,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Institutional,Below 0.5,Marginal,2.147,0,2.147,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(0.5-1.0),Marginal,19939.801,1.686,19941.487,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(10.0-20.0),Large,15726.522,93.337,15819.859,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(2.0-3.0),Semi-Medium,44537.28,9.87,44547.15,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,20 & Above,Large,20,0,20,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(3.0-4.0),Semi-Medium,33493.435,29.666,33523.101,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(0.5-1.0),Marginal,11904.051,87.161,11991.212,22.79,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(10.0-20.0),Large,185.253,0.313,185.566,11.303,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(1.0-2.0),Small,17576.461,179.456,17755.917,23.921,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,4754.003,66.078,4820.081,1.717,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,20 & Above,Large,23.859,0,23.859,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,1837.527,35.595,1873.122,23.394,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(4.0-5.0),Medium,812.175,0.937,813.112,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(5.0-7.5),Medium,795.786,0,795.786,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,(7.5-10.0),Medium,246.17,0,246.17,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Caste,Below 0.5,Marginal,7064.295,152.104,7216.399,6.561,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,1412.544,5.232,1417.776,1.829,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(10.0-20.0),Large,10.525,0,10.525,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(1.0-2.0),Small,2177.765,1.455,2179.22,1.455,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(2.0-3.0),Semi-Medium,716.879,0,716.879,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,20 & Above,Large,2841.546,0,2841.546,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Arwal,2015-16,Scheduled Tribes,Below 0.5,Marginal,0.66,0,0.66,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(0.5-1.0),Marginal,27.648,0,27.648,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(4.0-5.0),Medium,26323.844,43.049,26366.893,0.124,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(5.0-7.5),Medium,39242.645,53.406,39296.051,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,(7.5-10.0),Medium,17581.611,175.628,17757.239,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Others,Below 0.5,Marginal,6606.491,5.087,6611.578,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(0.5-1.0),Marginal,788.427,0,788.427,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(10.0-20.0),Large,468.244,0,468.244,0,2015,"Agriculture Year (Jul - Jun), 2015"
Assam,Goalpara,2015-16,Others,(10.0-20.0),Large,183.04,0,183.04,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(10.0-20.0),Large,11.162,0,11.162,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,316.943,1.461,318.404,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(4.0-5.0),Medium,101.444,0,101.444,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(5.0-7.5),Medium,98.333,0,98.333,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,(7.5-10.0),Medium,25.505,0,25.505,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Hassan,2015-16,Scheduled Tribes,Below 0.5,Marginal,747.19,2.701,749.891,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(0.5-1.0),Marginal,24.837,8.227,33.064,3.764,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(10.0-20.0),Large,254.686,0,254.686,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(1.0-2.0),Small,61.201,18.556,79.757,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(2.0-3.0),Semi-Medium,93.25,6.295,99.545,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,20 & Above,Large,567.161,0,567.161,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(3.0-4.0),Semi-Medium,57.05,0,57.05,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(4.0-5.0),Medium,34.323,0,34.323,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(5.0-7.5),Medium,125.637,0,125.637,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,(7.5-10.0),Medium,16.083,17.119,33.202,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Institutional,Below 0.5,Marginal,11.522,4.508,16.03,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(0.5-1.0),Marginal,30545.873,229.36,30775.233,47.032,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(10.0-20.0),Large,13583.776,310.318,13894.094,118.735,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(1.0-2.0),Small,100419.051,721.533,101140.584,237.557,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(2.0-3.0),Semi-Medium,59254.911,552.016,59806.927,228.627,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,20 & Above,Large,1728.408,198.008,1926.416,0.068,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(3.0-4.0),Semi-Medium,35655.398,547.811,36203.209,162.306,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(4.0-5.0),Medium,23513.828,384.006,23897.834,88.096,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(5.0-7.5),Medium,30032.283,615.146,30647.429,160.55,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(1.0-2.0),Small,1246.738,111.669,1358.407,8.223,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,406.24,13.745,419.985,2.075,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,123.68,0,123.68,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(4.0-5.0),Medium,113.26,4.08,117.34,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(5.0-7.5),Medium,82.577,1.013,83.59,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(1.0-2.0),Small,1875.545,0,1875.545,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,1395.463,0,1395.463,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,782.298,7.324,789.622,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(4.0-5.0),Medium,643.369,0,643.369,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,(7.5-10.0),Medium,13127.236,511.46,13638.696,57.325,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(1.0-2.0),Small,46.138,0,46.138,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(2.0-3.0),Semi-Medium,46.246,0,46.246,0.029,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(3.0-4.0),Semi-Medium,13.854,0,13.854,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(4.0-5.0),Medium,23.061,0,23.061,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(5.0-7.5),Medium,11.419,0,11.419,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,(7.5-10.0),Medium,34.381,0,34.381,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Institutional,Below 0.5,Marginal,30.641,0,30.641,0.024,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(0.5-1.0),Marginal,45447.042,2916.665,48363.707,325.54,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(10.0-20.0),Large,463.688,134.571,598.259,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(1.0-2.0),Small,28436.037,21554.664,49990.701,169.405,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Others,Below 0.5,Marginal,9092.77,258.56,9351.33,18.55,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(0.5-1.0),Marginal,3393.65,23.467,3417.117,8.984,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(10.0-20.0),Large,205.637,0,205.637,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(1.0-2.0),Small,9161.599,50.207,9211.806,14.122,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(5.0-7.5),Medium,827.974,0,827.974,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,(7.5-10.0),Medium,497.157,0,497.157,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Caste,Below 0.5,Marginal,271.731,0,271.731,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,2999.922,0,2999.922,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(10.0-20.0),Large,3489.882,0,3489.882,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(1.0-2.0),Small,9788.85,4.073,9792.923,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(2.0-3.0),Semi-Medium,8742.865,0,8742.865,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,20 & Above,Large,23.017,0,23.017,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,5971.32,5.747,5977.067,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,3952.587,139.439,4092.026,6.71,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,20 & Above,Large,23.354,0,23.354,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,1610.549,3.45,1613.999,3.526,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(4.0-5.0),Medium,743.773,41.035,784.808,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(5.0-7.5),Medium,595.304,32.765,628.069,0.437,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,(7.5-10.0),Medium,296.383,0,296.383,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Caste,Below 0.5,Marginal,1095.654,25.811,1121.465,1.787,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,3341.064,36.272,3377.336,20.542,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(10.0-20.0),Large,386.656,0,386.656,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(1.0-2.0),Small,9024.774,64.185,9088.959,27.881,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(2.0-3.0),Semi-Medium,4424.787,53.822,4478.609,14.015,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,20 & Above,Large,50.252,0,50.252,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,2201.019,9.95,2210.969,4.02,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(4.0-5.0),Medium,964.794,63.368,1028.162,0.344,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(2.0-3.0),Semi-Medium,19795.997,16101.422,35897.419,75.68,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,20 & Above,Large,56.779,2.76,59.539,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(3.0-4.0),Semi-Medium,10456.752,3387.877,13844.629,68.109,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(4.0-5.0),Medium,6506.678,910.838,7417.516,19.24,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(5.0-7.5),Medium,3712.21,520.733,4232.943,0.795,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,(7.5-10.0),Medium,2064.253,499.279,2563.532,3.743,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(4.0-5.0),Medium,4813.173,0,4813.173,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(5.0-7.5),Medium,7627.096,0,7627.096,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,(7.5-10.0),Medium,3620.073,0,3620.073,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bharuch,2015-16,Scheduled Tribes,Below 0.5,Marginal,813.683,1.889,815.572,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(0.5-1.0),Marginal,6.679,2.398,9.077,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(10.0-20.0),Large,212.838,0,212.838,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(1.0-2.0),Small,33.705,2.621,36.326,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Others,Below 0.5,Marginal,44809.036,2983.248,47792.284,403.742,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(0.5-1.0),Marginal,7546.599,334.59,7881.189,50.679,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(1.0-2.0),Small,6150.938,354.471,6505.409,29.758,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(5.0-7.5),Medium,1187.558,43.318,1230.876,0.669,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,(7.5-10.0),Medium,460.949,0,460.949,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Haveri,2015-16,Scheduled Tribes,Below 0.5,Marginal,1004.44,21.714,1026.154,3.824,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(0.5-1.0),Marginal,18.293,0,18.293,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(10.0-20.0),Large,238.869,0,238.869,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(1.0-2.0),Small,49.506,1.646,51.152,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(2.0-3.0),Semi-Medium,70.546,0,70.546,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,20 & Above,Large,439.316,0.471,439.787,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(3.0-4.0),Semi-Medium,52.224,0,52.224,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(4.0-5.0),Medium,52.692,0.25,52.942,0.402,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(5.0-7.5),Medium,129.403,0.143,129.546,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,(7.5-10.0),Medium,132.302,0,132.302,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Institutional,Below 0.5,Marginal,7.548,4.997,12.545,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(0.5-1.0),Marginal,34877.856,383.597,35261.453,113.779,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(10.0-20.0),Large,61398.483,456.464,61854.947,813.255,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(1.0-2.0),Small,175189.906,1439.207,176629.113,612.927,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(2.0-3.0),Semi-Medium,146585.494,1001.775,147587.269,464.942,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,20 & Above,Large,8930.405,166.4,9096.805,478.487,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(3.0-4.0),Semi-Medium,102312.177,802.067,103114.244,496.847,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(2.0-3.0),Semi-Medium,13.23,32.905,46.135,0.094,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,20 & Above,Large,4010.733,0,4010.733,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(3.0-4.0),Semi-Medium,40.859,0,40.859,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(4.0-5.0),Medium,42.996,0,42.996,0.253,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Bhavnagar,2015-16,Institutional,(5.0-7.5),Medium,80.716,0,80.716,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,(7.5-10.0),Medium,15.47,0,15.47,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Caste,Below 0.5,Marginal,1440.647,127.193,1567.84,8.84,2015,"Agriculture Year (Jul - Jun), 2015"
Andhra Pradesh,Visakhapatnam,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,15145.496,5101.365,20246.861,542.229,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(4.0-5.0),Medium,70476.706,571.52,71048.226,342.925,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,1379.964,214.502,1594.466,0.149,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,218.262,11.195,229.457,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(4.0-5.0),Medium,40.612,0,40.612,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(5.0-7.5),Medium,29.956,1.764,31.72,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,(7.5-10.0),Medium,1.337,14.412,15.749,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Aurangabad,2015-16,Scheduled Caste,Below 0.5,Marginal,8605.412,458.577,9063.989,61.631,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(5.0-7.5),Medium,96349.656,931.051,97280.707,901.221,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,(7.5-10.0),Medium,52378.99,465.096,52844.086,663.803,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Others,Below 0.5,Marginal,8227.308,251.694,8479.002,15.18,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Scheduled Caste,(0.5-1.0),Marginal,12422.971,141.528,12564.499,71.299,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Scheduled Caste,(10.0-20.0),Large,3764.992,5.134,3770.126,195.389,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Kalaburgi,2015-16,Scheduled Caste,(1.0-2.0),Small,42233.916,314.297,42548.213,232.333,2015,"Agriculture Year (Jul - Jun), 2015"
